species,province,count,lat,lon,date,doy
Podiceps cristatus,Jiangxi,,28.870571,116.43317,11/27/2018,330
Chroicocephalus ridibundus,Shanghai,10,31.238655,121.49084,12/25/1991,358
Ardeola bacchus,Zhejiang,1,30.270709,120.078047,6/11/2016,162
Nycticorax nycticorax,Shanghai,13,31.238655,121.49084,12/8/2015,341
Ardea cinerea,Jiangxi,12,29.177,116.006,12/7/2017,340
Podiceps cristatus,Guangdong,4,22.51888,113.955292,12/10/2017,343
Calidris alpina,Jiangsu,50,32.581667,121.006667,10/27/2013,299
Platalea leucorodia,Jiangxi,3,28.950941,116.348257,3/1/2018,59
Ardea cinerea,Zhejiang,1,27.727911,120.754885,5/5/2018,124
Egretta garzetta,Shanghai,10,30.920507,121.973159,10/21/2018,293
Egretta garzetta,Guangdong,,23.164301,113.292818,12/3/1988,337
Gallinula chloropus,Shanghai,2,31.215664,121.545353,6/9/2017,159
Aythya fuligula,Jiangsu,2,33.55764,120.428521,1/8/2015,7
Ardea cinerea,Jiangxi,10,28.870571,116.43317,6/13/2015,163
Podiceps cristatus,Jiangsu,1,32.545022,121.092769,5/1/2018,120
Mareca penelope,Shanghai,1,30.753804,121.39207,3/7/2017,65
Tringa nebularia,Shanghai,6,31.297914,121.894824,10/16/2016,289
Botaurus stellaris,Shanghai,1,30.920507,121.973159,7/19/2017,199
Ardeola bacchus,Shanghai,6,30.729147,121.37219,5/12/2017,131
Himantopus himantopus,Shanghai,45,30.920507,121.973159,4/10/2016,100
Limosa limosa,Jiangsu,5,34.82861,119.206682,9/10/2017,252
Gallinula chloropus,Shanghai,1,31.215664,121.545353,11/25/2017,328
Chroicocephalus ridibundus,Jiangsu,39,32.75,120.96,9/24/2018,266
Gallinula chloropus,Shanghai,9,30.920507,121.973159,8/27/2016,239
Calidris alba,Shanghai,2,31.297333,121.859434,10/11/2016,284
Tringa erythropus,Shanghai,2,30.920507,121.973159,8/25/2017,236
Charadrius alexandrinus,Jiangsu,13,32.581667,121.006667,4/24/2015,113
Tachybaptus ruficollis,Shanghai,,30.920507,121.973159,5/4/2017,123
Egretta garzetta,Jiangsu,118,33.602272,120.507223,12/3/2017,336
